epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,6.16333,2.24556,5.24362,4.9929,2.15819,0,0.00271,0.21447,0.00247,0.00045,0,0,0,0,2.80809,88.0418,4.31391,2.83995,0,0.00017,0.00017,0.08317
2,8.81329,2.19618,4.37496,4.30959,2.05006,0,0.00032,0.18706,0.00122,0.00026,0,0,0,0,2.46406,82.3204,4.21782,2.40714,0,0.000346535,0.000346535,0.0653465
3,11.5265,2.17764,4.09591,3.96179,2.05183,0,0.0458,0.24623,0.04201,0.01848,0,0,0,0,2.39506,19.8713,4.25539,2.39104,0,0.000519506,0.000519506,0.0475195
4,14.2695,2.12403,4.04517,3.80753,2.03836,0,0.02286,0.33272,0.02614,0.01133,0.00763,0.05556,0.00802,0.00325,2.16333,16.8345,4.11503,2.28824,0,0.000688913,0.000688913,0.0296889
5,16.8331,2.08957,3.87791,3.55922,2.01685,0,0.26835,0.19972,0.03464,0.01959,0.24467,0.0451,0.00653,0.00141,2.34651,14.7281,4.4921,2.42648,0,0.000854756,0.000854756,0.0118548
6,19.6777,2.06254,3.80458,3.51999,2.01897,0,0.56044,0.03965,0.0364,0.01549,0.53938,0.0323,0.02331,0.00339,2.583,6.65939,3.63686,2.7179,0,0.0009505,0.0009505,0.0009505
7,22.2749,2.06622,3.80734,3.50649,1.99158,0,0.25774,0.07556,0.0471,0.01638,0.25987,0.0763,0.03872,0.00733,2.69976,4.41706,3.56548,2.63803,0,0.0009406,0.0009406,0.0009406
8,25.2064,2.01499,3.60714,3.41952,1.99469,0,0.9578,0.04,0.06709,0.01925,0.9578,0.04,0.06073,0.01006,2.58925,5.4411,4.0636,2.57323,0,0.0009307,0.0009307,0.0009307
9,28.3452,1.93566,3.58309,3.38611,1.89292,0,0.43483,0.08,0.04917,0.00907,0.41713,0.04,0.01533,0.003,2.45696,5.09039,4.18068,2.44938,0,0.0009208,0.0009208,0.0009208
10,30.9995,1.94081,3.5903,3.26123,1.88596,0,0.23372,0.10202,0.03334,0.01119,0.21792,0.07185,0.01611,0.00434,2.43541,4.63868,4.13128,2.44178,0,0.0009109,0.0009109,0.0009109
11,33.5615,1.99755,3.58906,3.26646,1.91377,0,0.0786,0.13695,0.06152,0.02334,0.07087,0.11473,0.04181,0.00992,2.37459,4.4962,3.70582,2.37223,0,0.000901,0.000901,0.000901
12,36.4459,1.88345,3.43398,3.15898,1.85652,0,0.09145,0.13704,0.06229,0.02707,0.08285,0.12222,0.0429,0.01485,2.40788,4.38088,4.66874,2.49574,0,0.0008911,0.0008911,0.0008911
13,39.3638,1.90137,3.52098,3.13137,1.91145,0,0.04292,0.15538,0.07212,0.0243,0.03866,0.14797,0.03182,0.0114,2.37363,4.63966,4.26919,2.47153,0,0.0008812,0.0008812,0.0008812
14,42.1623,1.87876,3.57929,3.15575,1.90404,0,0.25684,0.13111,0.05291,0.01904,0.25411,0.1237,0.0291,0.00831,2.37369,4.27423,3.45503,2.39507,0,0.0008713,0.0008713,0.0008713
15,44.7194,1.83499,3.34636,3.07243,1.85433,0,0.28673,0.1179,0.06725,0.03075,0.29684,0.12172,0.0625,0.02114,2.33458,4.18121,3.30494,2.32359,0,0.0008614,0.0008614,0.0008614
16,47.5885,1.8588,3.39942,3.06468,1.8257,0,0.11324,0.08296,0.08011,0.02695,0.10415,0.07556,0.06637,0.02109,2.1665,3.96713,3.42831,2.19741,0,0.0008515,0.0008515,0.0008515
17,50.2498,1.83252,3.29415,3.04331,1.79745,0,0.07799,0.12946,0.0494,0.02173,0.06558,0.12117,0.03854,0.01021,2.19635,4.39823,3.70669,2.16935,0,0.0008416,0.0008416,0.0008416
18,52.9326,1.86218,3.28069,2.93854,1.8443,0,0.09998,0.08982,0.06219,0.02166,0.08735,0.0722,0.04175,0.01394,2.31797,4.11202,4.24278,2.3676,0,0.0008317,0.0008317,0.0008317
19,55.6457,1.77805,3.27632,2.91233,1.82072,0,0.1014,0.16353,0.06143,0.01707,0.04038,0.09443,0.02772,0.00853,2.3606,3.75281,3.20309,2.40119,0,0.0008218,0.0008218,0.0008218
20,58.4224,1.83431,3.30913,2.94472,1.86662,0,0.33376,0.10519,0.07802,0.02398,0.31374,0.0963,0.058,0.0153,2.33653,3.67622,3.25052,2.3191,0,0.0008119,0.0008119,0.0008119
21,61.261,1.78187,3.26908,2.8283,1.78029,0,0.32431,0.13538,0.06047,0.02446,0.33611,0.13538,0.05163,0.01543,2.2215,4.00973,3.33317,2.19729,0,0.000802,0.000802,0.000802
22,63.6325,1.77177,3.24111,2.92646,1.77389,0,0.18389,0.10131,0.0709,0.02808,0.04481,0.06214,0.03018,0.00842,2.13172,4.20452,3.32217,2.12077,0,0.0007921,0.0007921,0.0007921
23,66.1895,1.73558,3.22152,2.86052,1.77468,0,0.12282,0.14881,0.08687,0.03107,0.1044,0.13769,0.06006,0.01646,2.05603,3.90759,3.21902,2.11848,0,0.0007822,0.0007822,0.0007822
24,68.9718,1.71714,3.06358,2.7872,1.73987,0,0.26912,0.13171,0.08925,0.0323,0.26695,0.13223,0.07529,0.02878,2.14382,3.90017,3.29015,2.16946,0,0.0007723,0.0007723,0.0007723
25,71.7751,1.69131,3.07631,2.73905,1.70264,0,0.10014,0.09778,0.07957,0.02907,0.10202,0.09778,0.07183,0.0259,2.15313,3.81876,3.38841,2.14827,0,0.0007624,0.0007624,0.0007624
26,74.471,1.67232,2.99826,2.62919,1.68182,0,0.08172,0.0888,0.05992,0.02738,0.0875,0.0888,0.04732,0.01901,2.13418,3.80989,3.2368,2.10295,0,0.0007525,0.0007525,0.0007525
27,77.0702,1.68617,3.17365,2.65398,1.70455,0,0.27084,0.13538,0.0472,0.0214,0.25786,0.1088,0.04096,0.01496,2.12997,3.62586,3.22054,2.06235,0,0.0007426,0.0007426,0.0007426
28,79.5718,1.72713,3.10452,2.69953,1.73018,0,0.13868,0.13908,0.07253,0.02502,0.34681,0.11908,0.06304,0.01923,2.21184,3.46236,3.50964,2.2122,0,0.0007327,0.0007327,0.0007327
29,82.1137,1.63088,2.85437,2.5597,1.66834,0,0.11105,0.139,0.0806,0.03154,0.1224,0.15076,0.07319,0.02664,2.20999,3.70894,3.39086,2.18214,0,0.0007228,0.0007228,0.0007228
30,84.6252,1.70258,3.01202,2.71175,1.76624,0,0.43314,0.10057,0.09007,0.03676,0.43314,0.10057,0.08601,0.02763,2.31963,3.88342,3.24821,2.30548,0,0.0007129,0.0007129,0.0007129
31,87.2377,1.62262,2.95045,2.64253,1.6919,0,0.28196,0.11481,0.06628,0.02754,0.28402,0.12624,0.05782,0.02013,2.37488,4.0249,3.29036,2.35894,0,0.000703,0.000703,0.000703
32,89.9314,1.6084,2.88557,2.58099,1.64382,0,0.26703,0.16,0.12377,0.04467,0.24368,0.13926,0.10458,0.03669,2.20456,3.78584,3.24637,2.22668,0,0.0006931,0.0006931,0.0006931
33,92.8087,1.59167,2.9821,2.50793,1.64124,0,0.13461,0.17778,0.11558,0.04634,0.47218,0.10595,0.11157,0.04389,2.19053,3.55758,3.14761,2.14803,0,0.0006832,0.0006832,0.0006832
34,95.4628,1.6502,2.9404,2.59735,1.7218,0,0.1046,0.19481,0.09003,0.0319,0.10432,0.17407,0.07317,0.02743,2.23564,3.45633,3.0915,2.07878,0,0.0006733,0.0006733,0.0006733
35,98.3331,1.63719,2.90276,2.46585,1.63016,0,0.14232,0.11852,0.0693,0.02767,0.1177,0.10519,0.04558,0.0161,2.18834,4.09219,3.29011,2.12798,0,0.0006634,0.0006634,0.0006634
36,100.929,1.58798,2.95725,2.41011,1.65797,0,0.10113,0.15926,0.07541,0.02865,0.10519,0.15185,0.05726,0.02258,2.19869,3.65339,3.17218,2.26436,0,0.0006535,0.0006535,0.0006535
37,103.541,1.62045,2.84261,2.38901,1.64108,0,0.09167,0.10214,0.07792,0.03034,0.0795,0.09473,0.062,0.02508,2.16215,3.85294,3.34171,2.17474,0,0.0006436,0.0006436,0.0006436
38,106.057,1.51602,2.8397,2.37037,1.55697,0,0.13928,0.12859,0.09403,0.04639,0.11728,0.09924,0.07836,0.02678,2.05772,3.69031,3.25847,2.10782,0,0.0006337,0.0006337,0.0006337
39,108.588,1.55503,2.88985,2.29822,1.62011,0,0.18801,0.1139,0.08676,0.0456,0.18208,0.09778,0.07246,0.02557,2.08353,3.93217,3.37253,2.09813,0,0.0006238,0.0006238,0.0006238
40,111.312,1.54378,2.7046,2.26339,1.63216,0,0.08734,0.17695,0.07728,0.03021,0.09275,0.08536,0.05584,0.02109,2.1658,3.74695,3.14905,2.14321,0,0.0006139,0.0006139,0.0006139
41,113.907,1.53969,2.72658,2.33821,1.59108,0,0.11198,0.14519,0.09769,0.03256,0.13552,0.15259,0.08623,0.02575,2.23292,3.63027,3.20259,2.17034,0,0.000604,0.000604,0.000604
42,116.631,1.54678,2.74446,2.27392,1.61029,0,0.07096,0.06296,0.06901,0.02962,0.38913,0.08345,0.0751,0.02598,2.17902,3.55855,3.45564,2.13157,0,0.0005941,0.0005941,0.0005941
43,119.253,1.48117,2.70177,2.10547,1.55283,0,0.29578,0.1214,0.08295,0.03393,0.29687,0.11111,0.08253,0.02808,2.16291,3.56492,3.29979,2.17727,0,0.0005842,0.0005842,0.0005842
44,121.816,1.45801,2.72393,2.16325,1.54195,0,0.06952,0.12065,0.07883,0.03261,0.07209,0.11473,0.06563,0.02214,2.21947,3.51369,3.36511,2.23085,0,0.0005743,0.0005743,0.0005743
45,124.527,1.52568,2.74903,2.20831,1.58308,0,0.14048,0.12581,0.09833,0.04293,0.14614,0.09037,0.09183,0.0291,2.11916,3.50744,3.38548,2.11945,0,0.0005644,0.0005644,0.0005644
46,127.141,1.45579,2.64705,2.11103,1.53265,0,0.38907,0.18205,0.09879,0.04673,0.38907,0.18205,0.09545,0.03709,2.07521,3.61781,3.36713,2.12766,0,0.0005545,0.0005545,0.0005545
47,129.661,1.48437,2.67903,2.16798,1.53657,0,0.22698,0.18205,0.11124,0.04666,0.22423,0.18794,0.10733,0.03815,2.17269,3.69251,3.27876,2.22901,0,0.0005446,0.0005446,0.0005446
48,132.31,1.46248,2.63295,2.04855,1.51405,0,0.29612,0.18011,0.15361,0.07304,0.29687,0.17523,0.14613,0.05134,2.1371,3.74593,3.28192,2.14385,0,0.0005347,0.0005347,0.0005347
49,135.025,1.45773,2.64406,2.08858,1.50152,0,0.17205,0.21903,0.11422,0.04782,0.16414,0.16444,0.1101,0.0347,2.13539,3.98281,3.20842,2.1535,0,0.0005248,0.0005248,0.0005248
50,137.637,1.43665,2.60563,2.0957,1.53815,0,0.1458,0.19455,0.07845,0.03225,0.13034,0.18005,0.07366,0.02121,2.13364,4.19877,3.28634,2.1653,0,0.0005149,0.0005149,0.0005149
51,140.175,1.47406,2.60599,2.07324,1.55918,0,0.08027,0.15834,0.06605,0.02744,0.04866,0.12148,0.0587,0.01235,2.09332,4.36272,3.37419,2.10023,0,0.000505,0.000505,0.000505
52,142.791,1.40467,2.61239,1.96323,1.50455,0,0.13178,0.11111,0.08755,0.03815,0.43754,0.07556,0.07706,0.01521,2.23896,3.93484,3.2707,2.24564,0,0.0004951,0.0004951,0.0004951
53,145.386,1.48719,2.60397,2.06029,1.52293,0,0.09692,0.13997,0.0923,0.03822,0.07164,0.15176,0.04913,0.01309,2.0947,3.78761,3.22717,2.12798,0,0.0004852,0.0004852,0.0004852
54,147.896,1.44343,2.65907,2.07499,1.49599,0,0.12085,0.11778,0.0852,0.0361,0.11316,0.11037,0.07181,0.03107,2.25518,3.68885,3.28525,2.23198,0,0.0004753,0.0004753,0.0004753
55,150.448,1.48849,2.55368,2.01341,1.54034,0,0.11673,0.11618,0.0556,0.02178,0.11887,0.13028,0.04821,0.01889,2.18298,4.01787,3.33544,2.17451,0,0.0004654,0.0004654,0.0004654
56,153.058,1.39651,2.59411,1.8784,1.47685,0,0.19935,0.12057,0.08171,0.0426,0.22823,0.12776,0.07972,0.03244,2.13742,4.29433,3.34242,2.06004,0,0.0004555,0.0004555,0.0004555
57,155.681,1.36853,2.49674,1.91698,1.46174,0,0.50877,0.15686,0.1162,0.04846,0.50877,0.15686,0.10922,0.05003,2.14679,3.97569,3.23774,2.08513,0,0.0004456,0.0004456,0.0004456
58,158.879,1.4102,2.53964,1.89944,1.48424,0,0.15679,0.20566,0.11494,0.04522,0.17183,0.16153,0.11511,0.04078,2.1621,3.90163,3.18753,2.12147,0,0.0004357,0.0004357,0.0004357
59,161.47,1.34916,2.4936,1.86503,1.45143,0,0.16935,0.14362,0.09585,0.04636,0.16958,0.15049,0.08656,0.03579,2.13295,3.73722,3.25182,2.04641,0,0.0004258,0.0004258,0.0004258
60,164.086,1.34836,2.50347,1.80034,1.45078,0,0.19738,0.16931,0.12181,0.05719,0.19846,0.15259,0.1174,0.04228,2.16934,3.74796,3.27606,2.13213,0,0.0004159,0.0004159,0.0004159
61,166.646,1.33712,2.5021,1.88531,1.43496,0,0.11701,0.21602,0.11121,0.05271,0.1132,0.20283,0.10098,0.03783,2.11358,3.71784,3.39958,2.11872,0,0.000406,0.000406,0.000406
62,169.337,1.34602,2.51938,1.8137,1.45451,0,0.13292,0.20575,0.09188,0.04,0.13213,0.14934,0.07946,0.0228,2.15253,3.74142,3.23513,2.19393,0,0.0003961,0.0003961,0.0003961
63,171.84,1.30906,2.40109,1.78048,1.43158,0,0.16925,0.16353,0.09893,0.04608,0.21993,0.17976,0.09634,0.03348,2.14826,3.74132,3.26016,2.20948,0,0.0003862,0.0003862,0.0003862
