epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,6.03922,2.40924,5.24301,7.58511,2.32008,0,0.00078,0.04444,0.00035,7e-05,0,0,0,0,3.40798,92.5688,7.40086,3.71595,0,0.00017,0.00017,0.08317
2,9.97132,2.15426,4.19286,4.12487,2.1247,0,0.2193,0.01333,0.00769,0.00092,0,0,0,0,3.09391,31.1054,4.58931,3.16381,0,0.000346535,0.000346535,0.0653465
3,15.2199,2.13638,3.97505,3.86989,2.12192,0,0.00812,0.09834,0.01335,0.0043,0.00066,0.05917,0.00182,0.00036,2.8077,34.3025,7.08281,3.00046,0,0.000519506,0.000519506,0.0475195
4,19.892,2.08868,4.02579,3.75384,2.13098,0,0.65268,0.01176,0.01007,0.00572,0.00296,0.03094,0.00155,0.00023,2.67428,27.7906,5.44827,2.83698,0,0.000688913,0.000688913,0.0296889
5,24.6912,2.08948,3.89162,3.62402,2.11202,0,0.24373,0.02,0.01175,0.00313,0.00927,0.04427,0.00305,0.00082,2.77806,21.7315,inf,3.18277,0,0.000854756,0.000854756,0.0118548
6,28.9744,2.08452,3.82948,3.56238,2.16362,0,0.04276,0.09908,0.03997,0.02541,0.02885,0.03843,0.00962,0.00364,2.76806,8.95203,10.6502,3.11865,0,0.0009505,0.0009505,0.0009505
7,33.571,2.0726,3.81185,3.52047,2.12011,0,0.27911,0.12205,0.03202,0.01452,0.28464,0.0776,0.01556,0.00424,2.66103,9.20409,4.50851,2.7944,0,0.0009406,0.0009406,0.0009406
8,37.4826,2.10803,3.65685,3.54741,2.18093,0,0.25751,0.11852,0.05011,0.01464,0.24813,0.09852,0.02482,0.00671,2.39989,5.00359,10.8447,2.64396,0,0.0009307,0.0009307,0.0009307
9,42.0492,2.043,3.66804,3.4207,2.07508,0,0.26531,0.11111,0.03825,0.01453,0.27254,0.06815,0.01853,0.00444,2.50328,6.65966,8.69617,2.65923,0,0.0009208,0.0009208,0.0009208
10,46.7668,2.0001,3.64296,3.42198,2.04827,0,0.26178,0.12797,0.0457,0.01678,0.47141,0.08658,0.04706,0.01524,2.57792,5.35225,8.84762,2.62521,0,0.0009109,0.0009109,0.0009109
